T16,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
398,Kazakhstan,2020,Balance of Payments: Capital account (millions of US dollars),236,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,2021,Balance of Payments: Capital account (millions of US dollars),232,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,1995,Balance of Payments: Financial account (millions of US dollars),-864,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,2010,Balance of Payments: Financial account (millions of US dollars),"15,338",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,2015,Balance of Payments: Financial account (millions of US dollars),"-10,424",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,2019,Balance of Payments: Financial account (millions of US dollars),"-5,301",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,2020,Balance of Payments: Financial account (millions of US dollars),"-15,727",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
398,Kazakhstan,2021,Balance of Payments: Financial account (millions of US dollars),"-5,381",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,1985,Balance of Payments: Current account (millions of US dollars),-115,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,1995,Balance of Payments: Current account (millions of US dollars),"-1,578",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2010,Balance of Payments: Current account (millions of US dollars),"-2,369",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2015,Balance of Payments: Current account (millions of US dollars),"-4,421",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2019,Balance of Payments: Current account (millions of US dollars),"-5,287",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2020,Balance of Payments: Current account (millions of US dollars),"-4,797",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,1995,Balance of Payments: Capital account (millions of US dollars),124,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2010,Balance of Payments: Capital account (millions of US dollars),240,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2015,Balance of Payments: Capital account (millions of US dollars),262,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2019,Balance of Payments: Capital account (millions of US dollars),207,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2020,Balance of Payments: Capital account (millions of US dollars),132,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,1985,Balance of Payments: Financial account (millions of US dollars),-82,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,1995,Balance of Payments: Financial account (millions of US dollars),252,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2010,Balance of Payments: Financial account (millions of US dollars),"-1,987",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2015,Balance of Payments: Financial account (millions of US dollars),"-4,140",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2019,Balance of Payments: Financial account (millions of US dollars),"-4,533",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
404,Kenya,2020,Balance of Payments: Financial account (millions of US dollars),"-4,143",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,1985,Balance of Payments: Current account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2010,Balance of Payments: Current account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2015,Balance of Payments: Current account (millions of US dollars),56,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2019,Balance of Payments: Current account (millions of US dollars),87,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2020,Balance of Payments: Current account (millions of US dollars),71,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,1985,Balance of Payments: Capital account (millions of US dollars),7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2010,Balance of Payments: Capital account (millions of US dollars),13,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2015,Balance of Payments: Capital account (millions of US dollars),33,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2019,Balance of Payments: Capital account (millions of US dollars),24,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2020,Balance of Payments: Capital account (millions of US dollars),7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,1985,Balance of Payments: Financial account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2010,Balance of Payments: Financial account (millions of US dollars),2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2015,Balance of Payments: Financial account (millions of US dollars),84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2019,Balance of Payments: Financial account (millions of US dollars),110,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
296,Kiribati,2020,Balance of Payments: Financial account (millions of US dollars),85,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2010,Balance of Payments: Current account (millions of US dollars),-678,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2015,Balance of Payments: Current account (millions of US dollars),-547,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2019,Balance of Payments: Current account (millions of US dollars),-447,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2020,Balance of Payments: Current account (millions of US dollars),-541,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2021,Balance of Payments: Current account (millions of US dollars),-792,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2010,Balance of Payments: Capital account (millions of US dollars),28,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2015,Balance of Payments: Capital account (millions of US dollars),28,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2019,Balance of Payments: Capital account (millions of US dollars),-10,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2020,Balance of Payments: Capital account (millions of US dollars),20,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2021,Balance of Payments: Capital account (millions of US dollars),73,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2010,Balance of Payments: Financial account (millions of US dollars),-419,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2015,Balance of Payments: Financial account (millions of US dollars),-342,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2019,Balance of Payments: Financial account (millions of US dollars),-173,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2020,Balance of Payments: Financial account (millions of US dollars),-629,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
412,Kosovo,2021,Balance of Payments: Financial account (millions of US dollars),-420,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,1985,Balance of Payments: Current account (millions of US dollars),"4,798",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,1995,Balance of Payments: Current account (millions of US dollars),"5,016",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2010,Balance of Payments: Current account (millions of US dollars),"36,989",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2015,Balance of Payments: Current account (millions of US dollars),"8,584",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2019,Balance of Payments: Current account (millions of US dollars),"30,255",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2020,Balance of Payments: Current account (millions of US dollars),"22,030",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,1995,Balance of Payments: Capital account (millions of US dollars),-194,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2010,Balance of Payments: Capital account (millions of US dollars),"2,096",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2015,Balance of Payments: Capital account (millions of US dollars),-288,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2019,Balance of Payments: Capital account (millions of US dollars),"1,083",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2020,Balance of Payments: Capital account (millions of US dollars),995,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,1985,Balance of Payments: Financial account (millions of US dollars),"2,879",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,1995,Balance of Payments: Financial account (millions of US dollars),-298,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2010,Balance of Payments: Financial account (millions of US dollars),"46,187",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2015,Balance of Payments: Financial account (millions of US dollars),"11,542",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2019,Balance of Payments: Financial account (millions of US dollars),"26,046",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
414,Kuwait,2020,Balance of Payments: Financial account (millions of US dollars),"21,757",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,1995,Balance of Payments: Current account (millions of US dollars),-235,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2010,Balance of Payments: Current account (millions of US dollars),-475,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2015,Balance of Payments: Current account (millions of US dollars),"-1,052",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2019,Balance of Payments: Current account (millions of US dollars),"-1,067",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2020,Balance of Payments: Current account (millions of US dollars),374,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,1995,Balance of Payments: Capital account (millions of US dollars),2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2010,Balance of Payments: Capital account (millions of US dollars),-11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2015,Balance of Payments: Capital account (millions of US dollars),79,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2019,Balance of Payments: Capital account (millions of US dollars),88,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2020,Balance of Payments: Capital account (millions of US dollars),80,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,1995,Balance of Payments: Financial account (millions of US dollars),-341,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2010,Balance of Payments: Financial account (millions of US dollars),-394,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2015,Balance of Payments: Financial account (millions of US dollars),-779,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2019,Balance of Payments: Financial account (millions of US dollars),-419,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
417,Kyrgyzstan,2020,Balance of Payments: Financial account (millions of US dollars),350,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,1985,Balance of Payments: Current account (millions of US dollars),-114,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,1995,Balance of Payments: Current account (millions of US dollars),-237,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2010,Balance of Payments: Current account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2015,Balance of Payments: Current account (millions of US dollars),"-2,268",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2019,Balance of Payments: Current account (millions of US dollars),"-1,320",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2020,Balance of Payments: Current account (millions of US dollars),-115,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2010,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2015,Balance of Payments: Capital account (millions of US dollars),36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2019,Balance of Payments: Capital account (millions of US dollars),15,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2020,Balance of Payments: Capital account (millions of US dollars),13,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,1985,Balance of Payments: Financial account (millions of US dollars),-75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,1995,Balance of Payments: Financial account (millions of US dollars),-131,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2010,Balance of Payments: Financial account (millions of US dollars),-374,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2015,Balance of Payments: Financial account (millions of US dollars),"-2,748",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2019,Balance of Payments: Financial account (millions of US dollars),"-1,819",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
418,Lao People's Dem. Rep.,2020,Balance of Payments: Financial account (millions of US dollars),-845,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,1995,Balance of Payments: Current account (millions of US dollars),-16,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2010,Balance of Payments: Current account (millions of US dollars),413,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2015,Balance of Payments: Current account (millions of US dollars),-166,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2019,Balance of Payments: Current account (millions of US dollars),-228,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2020,Balance of Payments: Current account (millions of US dollars),982,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2021,Balance of Payments: Current account (millions of US dollars),"-1,133",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2010,Balance of Payments: Capital account (millions of US dollars),471,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2015,Balance of Payments: Capital account (millions of US dollars),767,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2019,Balance of Payments: Capital account (millions of US dollars),505,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2020,Balance of Payments: Capital account (millions of US dollars),605,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2021,Balance of Payments: Capital account (millions of US dollars),560,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,1995,Balance of Payments: Financial account (millions of US dollars),-669,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2010,Balance of Payments: Financial account (millions of US dollars),890,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2015,Balance of Payments: Financial account (millions of US dollars),745,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2019,Balance of Payments: Financial account (millions of US dollars),433,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2020,Balance of Payments: Financial account (millions of US dollars),"2,112",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
428,Latvia,2021,Balance of Payments: Financial account (millions of US dollars),-725,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2010,Balance of Payments: Current account (millions of US dollars),"-7,552",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2015,Balance of Payments: Current account (millions of US dollars),"-8,542",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2019,Balance of Payments: Current account (millions of US dollars),"-11,378",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2020,Balance of Payments: Current account (millions of US dollars),"-2,959",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2010,Balance of Payments: Capital account (millions of US dollars),39,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2015,Balance of Payments: Capital account (millions of US dollars),"1,801",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2019,Balance of Payments: Capital account (millions of US dollars),"1,448",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2020,Balance of Payments: Capital account (millions of US dollars),"1,671",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2010,Balance of Payments: Financial account (millions of US dollars),-457,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2015,Balance of Payments: Financial account (millions of US dollars),"-8,722",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2019,Balance of Payments: Financial account (millions of US dollars),"-6,312",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
422,Lebanon,2020,Balance of Payments: Financial account (millions of US dollars),"-11,717",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,1985,Balance of Payments: Current account (millions of US dollars),142,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,1995,Balance of Payments: Current account (millions of US dollars),-165,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2010,Balance of Payments: Current account (millions of US dollars),-158,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2015,Balance of Payments: Current account (millions of US dollars),-78,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2019,Balance of Payments: Current account (millions of US dollars),-84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2020,Balance of Payments: Current account (millions of US dollars),-41,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2021,Balance of Payments: Current account (millions of US dollars),-100,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,1985,Balance of Payments: Capital account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,1995,Balance of Payments: Capital account (millions of US dollars),296,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2010,Balance of Payments: Capital account (millions of US dollars),108,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2015,Balance of Payments: Capital account (millions of US dollars),37,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2019,Balance of Payments: Capital account (millions of US dollars),86,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2020,Balance of Payments: Capital account (millions of US dollars),93,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2021,Balance of Payments: Capital account (millions of US dollars),130,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,1985,Balance of Payments: Financial account (millions of US dollars),170,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,1995,Balance of Payments: Financial account (millions of US dollars),254,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2010,Balance of Payments: Financial account (millions of US dollars),-18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2015,Balance of Payments: Financial account (millions of US dollars),-217,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2019,Balance of Payments: Financial account (millions of US dollars),-47,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2020,Balance of Payments: Financial account (millions of US dollars),202,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
426,Lesotho,2021,Balance of Payments: Financial account (millions of US dollars),23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
430,Liberia,1985,Balance of Payments: Current account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
430,Liberia,2010,Balance of Payments: Current account (millions of US dollars),-853,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
430,Liberia,2015,Balance of Payments: Current account (millions of US dollars),171,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
